interval_label,anchor_strategy,model_id,formula,n_obs,r_sq,marginal_r2,aic,converged,interval_hours
12day,max_to_sunset,BT3,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_max_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",75,0.82438056589828,0.854408611764892,405.870367316628,TRUE,288
12day,mid_to_mid,BT7,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_at_max_count_t_1, sum_butterflies_direct_sun_t_1)",75,0.768245796353602,0.808020013850647,411.833419630179,TRUE,288
13day,first_to_first,BT1,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",70,0.734594179807837,0.804200804863217,454.120617771218,TRUE,312
13day,last_to_last,B51,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * wind_max_gust_t_1,70,0.646432092368944,0.661442902571031,438.259643012708,TRUE,312
13day,max_to_max,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),70,0.625248511993132,0.659108750504491,433.814391934672,TRUE,312
13day,max_to_sunset,B29b,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + temp_at_max_count_t_1,70,0.775658923503286,0.790563089576948,400.52687389763,TRUE,312
13day,mid_to_mid,BT2,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",70,0.804005609935784,0.827150750497043,384.689330315001,TRUE,312
14day,first_to_first,BT7,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_at_max_count_t_1, sum_butterflies_direct_sun_t_1)",65,0.657375608329677,0.687670853686934,382.898199514743,TRUE,336
14day,last_to_last,B46,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1,65,0.697547577379946,0.76270933555403,437.39274721539,TRUE,336
14day,max_to_max,B42,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * sum_butterflies_direct_sun_t_1,65,0.651633772977756,0.685036652499045,441.270558802207,TRUE,336
14day,max_to_sunset,B28,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(sum_butterflies_direct_sun_t_1),65,0.725469140837159,0.747528793657926,406.447145425303,TRUE,336
14day,mid_to_mid,BT7,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_at_max_count_t_1, sum_butterflies_direct_sun_t_1)",65,0.795905688676974,0.845991921695636,352.451164298785,TRUE,336
150min,within_day,M52,"butterfly_difference_cbrt ~ s(temperature_avg) + s(time_within_day_t) + ti(max_gust, butterflies_direct_sun_t_lag)",1672,0.204205942095491,0.212363672973702,6438.46074884331,TRUE,2.5
15day,first_to_first,BT1,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",60,0.660824532544974,0.738178670314346,364.214562672662,TRUE,360
15day,last_to_last,BT1,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",60,0.666479333968724,0.722526667617924,363.881568892758,TRUE,360
15day,max_to_max,BT1,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",60,0.623173764378222,0.746875984285002,375.395403163606,TRUE,360
15day,max_to_sunset,BT3,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_max_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",60,0.714082535111142,0.758722567113656,373.690039884917,TRUE,360
15day,mid_to_mid,BT2,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",60,0.789834593741912,0.837108257639083,332.844067901113,TRUE,360
16day,first_to_first,B49,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(I(temp_max_t_1 - temp_min_t_1)),55,0.599818502858299,0.622467003696537,356.768918868974,TRUE,384
16day,last_to_last,B45,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 + wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1,55,0.62299543252859,0.657762322750308,363.248030321338,TRUE,384
