interval_label,anchor_strategy,model_id,formula,n_obs,r_sq,marginal_r2,aic,converged,interval_hours
26day,last_to_last,B42,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * sum_butterflies_direct_sun_t_1,12,0.881432930701287,0.924539563226232,94.8184686010281,TRUE,624
26day,max_to_max,B29a,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + wind_max_gust_t_1,12,0.879369505174683,0.912564028641721,67.1126374051187,TRUE,624
26day,max_to_sunset,B29b,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + temp_at_max_count_t_1,12,0.995749154097607,0.998971372227683,55.41570685276,TRUE,624
26day,mid_to_mid,B29a,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + wind_max_gust_t_1,12,0.779994709456496,0.839098748687403,71.2221937693304,TRUE,624
270min,within_day,M48,butterfly_difference_cbrt ~ s(max_gust) + s(temperature_avg) + s(butterflies_direct_sun_t_lag) + s(time_within_day_t),1496,0.123113520778412,0.133672354867098,5353.11651049382,TRUE,4.5
2day,first_to_first,B11,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1,134,0.272368307984508,0.373401596043558,850.530631646303,TRUE,48
2day,last_to_last,B52,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * temp_at_max_count_t_1,133,0.252970955734603,0.321365297650648,843.918280801538,TRUE,48
2day,max_to_max,B26,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_min_t_1),133,0.120127202638772,0.140070501075976,867.256147996132,TRUE,48
2day,max_to_sunset,B37,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_max_t_1) + s(temp_min_t_1) + s(temp_at_max_count_t_1) + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1),133,0.487461976338497,0.55634149392195,854.358876421286,TRUE,48
2day,mid_to_mid,BT6,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_max_t_1, wind_max_gust_t_1)",134,0.423407312494655,0.522104332669443,777.172482287317,TRUE,48
