"interval_label","anchor_strategy","model_id","formula","n_obs","r_sq","marginal_r2","aic","converged"
"19day","max_to_max","B40","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + wind_max_gust_t_1 + s(sum_butterflies_direct_sun_t_1)",40,0.502591147258862,0.662774875902807,269.711204119714,TRUE
"19day","max_to_max","B41","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * wind_max_gust_t_1",40,0.503289019750897,0.638069751620422,271.171500193094,TRUE
"19day","max_to_max","B42","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * sum_butterflies_direct_sun_t_1",40,0.506610832653983,0.626915267727088,294.291429842823,TRUE
"19day","max_to_max","B43","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1",40,0.541707778526173,0.688717233398754,281.888980350667,TRUE
"19day","max_to_max","B44","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.491184104498769,0.667062164301468,280.671353203804,TRUE
"19day","max_to_max","B45","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 + wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1",40,0.499283606180414,0.645535046162708,283.9956602853,TRUE
"19day","max_to_max","B46","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1",40,0.485397014446433,0.590983830331849,300.973261106167,TRUE
"19day","max_to_max","B47","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + I(temp_max_t_1 - temp_min_t_1)",40,0.6222204434856,0.640408112396884,269.876631882523,TRUE
"19day","max_to_max","B48","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + I(temp_max_t_1 - temp_min_t_1) + wind_max_gust_t_1",40,0.614364842863621,0.642748211879742,267.857224396571,TRUE
"19day","max_to_max","B49","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(I(temp_max_t_1 - temp_min_t_1))",40,0.670390433682173,0.69425831829889,267.784321000538,TRUE
"19day","max_to_max","B50","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(I(temp_max_t_1 - temp_min_t_1)) + s(wind_max_gust_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_max","B51","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * wind_max_gust_t_1",40,0.644721273062393,0.672100766545172,269.753085853655,TRUE
"19day","max_to_max","B52","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * temp_at_max_count_t_1",40,0.513156417185664,0.593296557762348,284.570820199936,TRUE
"19day","max_to_max","B53","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * sum_butterflies_direct_sun_t_1",40,0.56010216700573,0.748572726523179,296.048275243225,TRUE
"19day","max_to_max","B54","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * wind_max_gust_t_1 + temp_at_max_count_t_1",40,0.625806463793603,0.664155590618004,270.907466848777,TRUE
"19day","max_to_max","B55","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * temp_at_max_count_t_1 + wind_max_gust_t_1",40,0.496807060015705,0.625356241198981,282.151924839479,TRUE
"19day","max_to_max","BT1","butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",40,0.605755273924954,0.707326779611777,255.730726881385,TRUE
"19day","max_to_max","BT2","butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",40,0.559541348752477,0.673341233170836,256.557065993726,TRUE
"19day","max_to_max","BT3","butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_max_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_max","BT4","butterfly_diff_95th_sqrt ~ ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",40,0.442799004313127,0.515891280597108,345.993008638025,TRUE
"19day","max_to_max","BT5","butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",40,0.522272564332397,0.637061663305416,346.602019829677,TRUE
"19day","max_to_max","BT6","butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_max_t_1, wind_max_gust_t_1)",40,0.579347853847547,0.707104089650936,257.91028130641,TRUE
"19day","max_to_max","BT7","butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_at_max_count_t_1, sum_butterflies_direct_sun_t_1)",40,0.59420289992014,0.693008371065806,257.881986768549,TRUE
"19day","max_to_sunset","M1","butterfly_diff_95th_sqrt ~ 1",40,0,-0.004293032199568,293.785970413223,TRUE
"19day","max_to_sunset","M2","butterfly_diff_95th_sqrt ~ wind_max_gust_t_1",40,0.0633099267712656,0.0853791868641163,290.116116783072,TRUE
"19day","max_to_sunset","M3","butterfly_diff_95th_sqrt ~ temp_max_t_1",40,-0.00134497945005108,0.0171661994687715,294.844590771705,TRUE
"19day","max_to_sunset","M4","butterfly_diff_95th_sqrt ~ temp_min_t_1",40,-0.0335791474857841,-0.0116351376723196,292.406698912192,TRUE
"19day","max_to_sunset","M5","butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1",40,-0.0261056369749169,-0.0039324050405305,296.335297776494,TRUE
"19day","max_to_sunset","M6","butterfly_diff_95th_sqrt ~ sum_butterflies_direct_sun_t_1",40,0.270548261265021,0.284942932559085,294.38213382148,TRUE
"19day","max_to_sunset","M8","butterfly_diff_95th_sqrt ~ temp_max_t_1 + temp_min_t_1",40,-0.0440508489528839,0.00293736483181617,293.270490379467,TRUE
"19day","max_to_sunset","M9","butterfly_diff_95th_sqrt ~ temp_max_t_1 + temp_at_max_count_t_1",40,-0.0277332019355241,0.0181121007463485,297.393752063539,TRUE
"19day","max_to_sunset","M10","butterfly_diff_95th_sqrt ~ temp_min_t_1 + temp_at_max_count_t_1",40,-0.0605725581342857,-0.0106241929718038,294.939162926076,TRUE
"19day","max_to_sunset","M11","butterfly_diff_95th_sqrt ~ temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1",40,-0.0721199987894001,0.00285141065540484,295.792459646843,TRUE
"19day","max_to_sunset","M12","butterfly_diff_95th_sqrt ~ wind_max_gust_t_1 + temp_max_t_1",40,0.0525157462469118,0.097417474503225,291.177755990575,TRUE
"19day","max_to_sunset","M13","butterfly_diff_95th_sqrt ~ wind_max_gust_t_1 + temp_min_t_1",40,0.0290580198443191,0.0776007190084269,288.420930979391,TRUE
"19day","max_to_sunset","M14","butterfly_diff_95th_sqrt ~ wind_max_gust_t_1 + temp_at_max_count_t_1",40,0.0387885903029987,0.0861729254454896,292.650991235041,TRUE
"19day","max_to_sunset","M15","butterfly_diff_95th_sqrt ~ wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.316482752426791,0.34952577233538,290.724950342767,TRUE
"19day","max_to_sunset","M16","butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 + sum_butterflies_direct_sun_t_1",40,0.258424079103836,0.291321160824723,296.780326380243,TRUE
"19day","max_to_sunset","M17","butterfly_diff_95th_sqrt ~ temp_max_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.331185706633226,0.380678742578982,292.069756172676,TRUE
"19day","max_to_sunset","M18","butterfly_diff_95th_sqrt ~ temp_min_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.399245498360056,0.445144144795015,287.03096757538,TRUE
"19day","max_to_sunset","M19","butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.307023022496285,0.358067031974384,293.066716102569,TRUE
"19day","max_to_sunset","M20","butterfly_diff_95th_sqrt ~ temp_max_t_1 + temp_min_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.394703931443497,0.456482558063746,288.825592486846,TRUE
"19day","max_to_sunset","M21","butterfly_diff_95th_sqrt ~ temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.387095074886191,0.465166321856371,290.877742666065,TRUE
"19day","max_to_sunset","M24","butterfly_diff_95th_sqrt ~ s(wind_max_gust_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","M25","butterfly_diff_95th_sqrt ~ s(temp_max_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","M26","butterfly_diff_95th_sqrt ~ s(temp_min_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","M27","butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1)",40,-0.0260989608048074,-0.00381838685390501,295.444573608266,TRUE
"19day","max_to_sunset","M28","butterfly_diff_95th_sqrt ~ s(sum_butterflies_direct_sun_t_1)",40,0.270685638638643,0.298760037858117,285.293277357114,TRUE
"19day","max_to_sunset","M30","butterfly_diff_95th_sqrt ~ s(temp_max_t_1) + s(temp_min_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","M31","butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1) + s(wind_max_gust_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","M32","butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1) + s(sum_butterflies_direct_sun_t_1)",40,0.377401837967436,0.458987640187795,285.474955448568,TRUE
"19day","max_to_sunset","M33","butterfly_diff_95th_sqrt ~ s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","M34","butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1) + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","M35","butterfly_diff_95th_sqrt ~ s(temp_max_t_1) + s(temp_min_t_1) + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","M37","butterfly_diff_95th_sqrt ~ s(temp_max_t_1) + s(temp_min_t_1) + s(temp_at_max_count_t_1) + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","M38","butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","M39","butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1) + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.425296318369607,0.50169984202425,290.793437925031,TRUE
"19day","max_to_sunset","M40","butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1) + wind_max_gust_t_1 + s(sum_butterflies_direct_sun_t_1)",40,0.410754462849501,0.505906778988143,282.081156656324,TRUE
"19day","max_to_sunset","M41","butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 * wind_max_gust_t_1",40,0.0254142278797446,0.0984404622826508,293.681719929707,TRUE
"19day","max_to_sunset","M42","butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 * sum_butterflies_direct_sun_t_1",40,0.228753044960621,0.283659892961859,308.698728609615,TRUE
"19day","max_to_sunset","M43","butterfly_diff_95th_sqrt ~ wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1",40,0.299981518321633,0.351881067866408,295.766439160863,TRUE
"19day","max_to_sunset","M44","butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 * wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.29870764511722,0.36855190143761,294.232579231264,TRUE
"19day","max_to_sunset","M45","butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 + wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1",40,0.29114195024376,0.366806665464101,298.075790032689,TRUE
"19day","max_to_sunset","M46","butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 * wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1",40,0.226484467840304,0.43282469528686,317.479550785215,TRUE
"19day","max_to_sunset","M47","butterfly_diff_95th_sqrt ~ I(temp_max_t_1 - temp_min_t_1)",40,0.00209375471043971,0.0211658601945747,295.112773833784,TRUE
"19day","max_to_sunset","M48","butterfly_diff_95th_sqrt ~ I(temp_max_t_1 - temp_min_t_1) + wind_max_gust_t_1",40,0.0509637110803247,0.0957568488571956,291.512421971069,TRUE
"19day","max_to_sunset","M49","butterfly_diff_95th_sqrt ~ s(I(temp_max_t_1 - temp_min_t_1))",40,0.00229567497522842,0.0209660063241899,293.615955793951,TRUE
"19day","max_to_sunset","M50","butterfly_diff_95th_sqrt ~ s(I(temp_max_t_1 - temp_min_t_1)) + s(wind_max_gust_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B1","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1",40,0.63239644035848,0.641935608964891,267.444225705387,TRUE
"19day","max_to_sunset","B2","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1",40,0.621955499432022,0.641790554444096,265.871217194848,TRUE
"19day","max_to_sunset","B3","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1",40,0.63835486329076,0.656089207533173,268.892030730969,TRUE
"19day","max_to_sunset","B4","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_min_t_1",40,0.634018195555159,0.652637743436667,266.973722727534,TRUE
"19day","max_to_sunset","B5","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1",40,0.623281817584024,0.642636295895998,270.837014351639,TRUE
"19day","max_to_sunset","B6","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + sum_butterflies_direct_sun_t_1",40,0.62751269573883,0.64726039825225,276.47206609496,TRUE
"19day","max_to_sunset","B8","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1",40,0.628836731956484,0.656417528620158,268.473350833711,TRUE
"19day","max_to_sunset","B9","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_at_max_count_t_1",40,0.627858087269989,0.655670242262951,272.296422229099,TRUE
"19day","max_to_sunset","B10","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_min_t_1 + temp_at_max_count_t_1",40,0.62575723405144,0.654406745615189,270.333583197857,TRUE
"19day","max_to_sunset","B11","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1",40,0.617223851778084,0.65546958019749,271.852488921786,TRUE
"19day","max_to_sunset","B12","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 + temp_max_t_1",40,0.627825229261293,0.655388190583515,267.260209775596,TRUE
"19day","max_to_sunset","B13","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 + temp_min_t_1",40,0.623913120460906,0.65240289548539,265.202587040765,TRUE
"19day","max_to_sunset","B14","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 + temp_at_max_count_t_1",40,0.61077867434399,0.641083825736135,269.260135555577,TRUE
"19day","max_to_sunset","B15","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.613625922777085,0.673783325793246,274.790730970857,TRUE
"19day","max_to_sunset","B16","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 + sum_butterflies_direct_sun_t_1",40,0.620294377342465,0.650829865222098,279.820795690323,TRUE
"19day","max_to_sunset","B17","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.642654974778216,0.679267802157818,275.226929010417,TRUE
"19day","max_to_sunset","B18","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_min_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.64080348180745,0.67796003928897,273.622860469666,TRUE
"19day","max_to_sunset","B19","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.604544710961881,0.674959205179065,278.152528721379,TRUE
"19day","max_to_sunset","B20","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.645967312633143,0.690991758410084,274.40440503873,TRUE
"19day","max_to_sunset","B21","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.643614247563435,0.698176766934734,277.670309289591,TRUE
"19day","max_to_sunset","B24","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(wind_max_gust_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B25","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_max_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B26","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_min_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B27","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1)",40,0.623258418465031,0.642486339337076,269.944088445925,TRUE
"19day","max_to_sunset","B28","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(sum_butterflies_direct_sun_t_1)",40,0.627513240819271,0.646910110737684,268.426460796632,TRUE
"19day","max_to_sunset","B29","butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1)",40,0.67782783956872,0.69845531439246,255.531844797502,TRUE
"19day","max_to_sunset","B29a","butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + wind_max_gust_t_1",40,0.68697499880489,0.715205105991189,253.416496692239,TRUE
"19day","max_to_sunset","B29b","butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + temp_at_max_count_t_1",40,0.666835444694722,0.696344289807211,259.03881222941,TRUE
"19day","max_to_sunset","B29c","butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B29d","butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1)",40,0.666926280907554,0.695508853871491,258.145958152032,TRUE
"19day","max_to_sunset","B30","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_max_t_1) + s(temp_min_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B31","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + s(wind_max_gust_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B32","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + s(sum_butterflies_direct_sun_t_1)",40,0.620348093348393,0.649562313724817,270.88075800052,TRUE
"19day","max_to_sunset","B33","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B34","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B35","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_max_t_1) + s(temp_min_t_1) + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B37","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_max_t_1) + s(temp_min_t_1) + s(temp_at_max_count_t_1) + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B38","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1)",40,NA,NA,NA,FALSE
"19day","max_to_sunset","B39","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.604616083140392,0.674619872026059,277.265028179664,TRUE
"19day","max_to_sunset","B40","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + wind_max_gust_t_1 + s(sum_butterflies_direct_sun_t_1)",40,0.594831565127095,0.688244380128873,269.186511591806,TRUE
"19day","max_to_sunset","B41","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * wind_max_gust_t_1",40,0.602256517449719,0.643476983948168,271.233589574531,TRUE
"19day","max_to_sunset","B42","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * sum_butterflies_direct_sun_t_1",40,0.610677903259369,0.650903355352397,292.939158752447,TRUE
"19day","max_to_sunset","B43","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1",40,0.620914918369629,0.661924287509037,279.765678732331,TRUE
"19day","max_to_sunset","B44","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1",40,0.595807906027823,0.676313364692585,280.12921168446,TRUE
"19day","max_to_sunset","B45","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 + wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1",40,0.609784581911964,0.661123940803286,283.083860165458,TRUE
"19day","max_to_sunset","B46","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1",40,0.586715328963401,0.671406043478474,301.178444144091,TRUE
"19day","max_to_sunset","B47","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + I(temp_max_t_1 - temp_min_t_1)",40,0.642254646743497,0.659818576448221,269.090161551319,TRUE
"19day","max_to_sunset","B48","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + I(temp_max_t_1 - temp_min_t_1) + wind_max_gust_t_1",40,0.632185733822953,0.659396277237745,267.499889886765,TRUE
"19day","max_to_sunset","B49","butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(I(temp_max_t_1 - temp_min_t_1))",40,0.642362727369441,0.659953500056721,267.593605990181,TRUE
