model,description,AIC,BIC,logLik,df,AICc,df_ratio,obs_per_param,delta_AIC,delta_AICc,delta_BIC,weight_AIC,weight_AICc,weight_BIC,baseline_type,model_category,overfitting_risk
M57,Additive: temp_min + wind_max_gust (smooth),653.9216458791506,684.0519599573528,-314.9608229395753,12,657.6806820237289,0.125,8,41.395116640742685,17.458745508914035,19.233206237855597,1.0197748636117615e-9,1.2929626618721218e-4,5.4400801287319124e-5,Smooth,Additive,Low
M46,Additive + Interaction: temp_max + sum_butterflies_direct_sun + temp_max×sum_butterflies_direct_sun (linear),653.257305293549,685.7548310078425,-313.6286526467745,13,657.696329683793,0.13541666666666666,7.384615384615385,40.73077605514118,17.474393168978168,20.93607728834536,1.4215561811727394e-9,1.2828862113859783e-4,2.321836030294693e-5,Linear,Main + Interaction,Low
M30,Interaction: temp_at_max_count_t_1 × sum_butterflies_direct_sun (linear),655.8117683532807,678.5078655467221,-318.90588417664037,9,657.9047916090947,0.09375,10.666666666666666,43.285239114872866,17.68285509427983,13.689111827224906,3.963413848786785e-10,1.1559025062744807e-4,8.69941604920654e-4,Linear,Interaction only,Low
M44,Additive + Interaction: temp_max + wind_max_gust + temp_max×wind_max_gust (linear),653.5708947213084,686.0684204356019,-313.7854473606542,13,658.0099191115523,0.13541666666666666,7.384615384615385,41.0443654829005,17.787982596737493,21.249666716104684,1.2152592881449624e-9,1.096713168756899e-4,1.984890107570349e-5,Linear,Main + Interaction,Low
M6,Single: temp_max (linear),656.4357772258061,676.6100858421984,-320.21788861290304,8,658.0909496395992,0.08333333333333333,12,43.9092479873982,17.869013124784374,11.791332122701192,2.9011328558202764e-10,1.0531676310995045e-4,0.002246920611952474,Linear,Single predictor,Low
M47,Additive + Interaction: temp_at_max_count_t_1 + wind_max_gust + temp_at_max_count_t_1×wind_max_gust (smooth),652.2154495959303,689.7125946508843,-311.10772479796515,15,658.2154495959303,0.15625,6.4,39.68892035752242,17.993513081115452,24.893840931387103,2.393316408224164e-9,9.89606822372285e-5,3.2093278944205896e-6,Smooth,Main + Interaction,Low
M24,Interaction: temp_max × wind_max_gust (linear),656.1487003374747,678.844797530916,-319.07435016873734,9,658.2417235932886,0.09375,10.666666666666666,43.622171099066804,18.01978707847377,14.026043811418845,3.348926158727033e-10,9.766913796765593e-5,7.350658569696296e-4,Linear,Interaction only,Low
M40,Additive + Interaction: temp_min + sum_butterflies_direct_sun + temp_min×sum_butterflies_direct_sun (linear),653.9831840434354,686.4807097577288,-313.9915920217177,13,658.4222084336793,0.13541666666666666,7.384615384615385,41.45665480502748,18.200271918864473,21.661956038231665,9.888751428750729e-10,8.924123452723502e-5,1.6151355581993414e-5,Linear,Main + Interaction,Low
M37,Additive + Interaction: temp_min + wind_max_gust + temp_min×wind_max_gust (smooth),652.6104181747332,690.1075632296872,-311.3052090873666,15,658.6104181747332,0.15625,6.4,40.083888936325366,18.388481659918398,25.28880951019005,1.9644174400401806e-9,8.122623878609124e-5,2.634193984942063e-6,Smooth,Main + Interaction,Low
M34,Additive + Interaction: temp_min + temp_max + temp_min×temp_max (linear),654.4943171634093,686.9918428777028,-314.24715858170464,13,658.9333415536532,0.13541666666666666,7.384615384615385,41.9677879250014,18.711405038838393,22.173089158205585,7.658616331403668e-10,6.911533585501913e-5,1.2508862875744214e-5,Linear,Main + Interaction,Low
M65,Additive: All predictors (additive) (smooth),650.3225251710327,694.9145878316403,-307.16126258551634,18,659.2056420541496,0.1875,5.333333333333333,37.795995932624805,18.983705539334778,30.095834112143166,6.166566715843328e-9,6.031774825551624e-5,2.38130829194447e-7,Smooth,Additive,Low
M63,Additive: All temp + wind (smooth),652.410141088017,692.2283230037312,-310.2050705440085,16,659.296217037384,0.16666666666666666,6,39.88361184960911,19.07428052256921,27.409569284234067,2.1713178265188087e-9,5.764704001882017e-5,9.122851804830627e-7,Smooth,Additive,Low
M26,Interaction: temp_max × sum_butterflies_direct_sun (linear),657.8341332844506,680.5302304778919,-319.9170666422253,9,659.9271565402645,0.09375,10.666666666666666,45.307604046042684,19.70522002544965,15.711476758394724,1.4418446075885893e-10,4.2050410559072876e-5,3.1647480173077554e-4,Linear,Interaction only,Low
M56,Additive: temp_min + temp_max (linear),657.9586233162331,683.0672183814016,-318.97931165811656,10,660.5468586103508,0.10416666666666667,9.6,45.43209407782524,20.324922095535953,18.24846466190445,1.3548330757804077e-10,3.084634031405575e-5,8.901008440861996e-5,Linear,Additive,Low
M60,Additive: temp_max + wind_max_gust (linear),658.1719957858604,683.2805908510289,-319.0859978929302,10,660.7602310799781,0.10416666666666667,9.6,45.64546654745254,20.538294565163255,18.46183713153175,1.2177343239063346e-10,2.7724926442089278e-5,8.000294419719689e-5,Linear,Additive,Low
M16,Interaction: temp_min × temp_at_max_count_t_1 (linear),658.6839033983724,681.3800005918138,-320.3419516991862,9,660.7769266541864,0.09375,10.666666666666666,46.15737415996455,20.55499013937151,16.561246872316588,9.427427947882394e-11,2.7494447989616352e-5,2.069254463993228e-4,Linear,Interaction only,Low
M18,Interaction: temp_min × wind_max_gust (linear),658.921131864358,681.6172290577994,-320.460565932179,9,661.014155120172,0.09375,10.666666666666666,46.39460262595014,20.792218605357107,16.798475338302183,8.372973467230178e-11,2.441920370920555e-5,1.8378090842746412e-4,Linear,Interaction only,Low
M14,Interaction: temp_min × temp_max (linear),659.2272395525603,681.9233367460016,-320.61361977628013,9,661.3202628083742,0.09375,10.666666666666666,46.70071031415239,21.098326293559353,17.10458302650443,7.184710527473135e-11,2.095371622144626e-5,1.57699368413761e-4,Linear,Interaction only,Low
M28,Interaction: temp_at_max_count_t_1 × wind_max_gust (linear),659.3974776472165,682.0935748406579,-320.69873882360827,9,661.4905009030305,0.09375,10.666666666666666,46.87094840880866,21.268564388215623,17.2748211211607,6.598459303643225e-11,1.9243954675502973e-5,1.4483156429329546e-4,Linear,Interaction only,Low
M2,Null (linear baseline),660.6865547223829,675.8821516813024,-324.34327736119144,6,661.6303749471019,0.0625,16,48.160025483975005,21.408438432287085,11.063397961805208,3.463562367375371e-11,1.7944074455684697e-5,0.0032333790707785195,Linear,Null,Low
M22,Interaction: temp_max × temp_at_max_count_t_1 (linear),660.1609227493342,682.8570199427755,-321.0804613746671,9,662.2539460051481,0.09375,10.666666666666666,47.634393510926316,22.03200949033328,18.038266223278356,4.504665474816059e-11,1.3137548363418756e-5,9.8874254930297e-5,Linear,Interaction only,Low
M12,Single: sum_butterflies_direct_sun (linear),660.6924106271167,680.866719243509,-322.34620531355836,8,662.3475830409099,0.08333333333333333,12,48.16588138870884,22.12564652609501,16.04796552401183,3.4534360536602783e-11,1.2536644299106617e-5,2.674678147007891e-4,Linear,Single predictor,Low
M42,Additive + Interaction: temp_max + temp_at_max_count_t_1 + temp_max×temp_at_max_count_t_1 (linear),658.5191792149349,691.0167049292284,-316.25958960746743,13,662.9582036051788,0.13541666666666666,7.384615384615385,45.99264997652699,22.73626709036398,26.197951209731173,1.0236762413683418e-10,9.238186660280086e-6,1.6719763960400564e-6,Linear,Main + Interaction,Low
M4,Single: temp_min (linear),661.6706339482384,681.8449425646307,-322.8353169741192,8,663.3258063620316,0.08333333333333333,12,49.14410470983057,23.103869847216743,17.02618884513356,2.117546341749654e-11,7.687104918376273e-6,1.6400346893788055e-4,Linear,Single predictor,Low
M50,Additive + Interaction: temp_at_max_count_t_1 + sum_butterflies_direct_sun + temp_at_max_count_t_1×sum_butterflies_direct_sun (linear),659.0933741897552,691.5908999040487,-316.5466870948776,13,663.5323985799992,0.13541666666666666,7.384615384615385,46.56684495134732,23.31046206518431,26.772146184551502,7.682061316019879e-11,6.932691558636313e-6,1.254715570632845e-6,Linear,Main + Interaction,Low
M54,Additive: All temperature (linear),659.8273941592379,689.8251102032011,-317.91369707961894,12,663.5864303038162,0.125,8,47.30086492083001,23.364493789001358,25.00635648370394,5.32215303297426e-11,6.747906227099339e-6,3.033762991506654e-6,Linear,Additive,Low
M10,Single: wind_max_gust (linear),662.1370168865266,682.3113255029189,-323.0685084432633,8,663.7921893003197,0.08333333333333333,12,49.61048764811869,23.570252785504863,17.49257178342168,1.677100757930121e-11,6.088201816752194e-6,1.298910614780804e-4,Linear,Single predictor,Low
M69,All additive + all temp×wind interactions (smooth),641.729765392615,707.6813493178536,-293.8648826963075,27,663.9650595102621,0.28125,3.5555555555555554,29.20323615420716,23.743122995447266,42.86259559835639,4.528324204465803e-7,5.584068680858903e-6,4.0229866519409136e-10,Smooth,Complex,Moderate
M8,Single: temp_at_max_count_t_1 (linear),662.716667301068,682.8909759174603,-323.358333650534,8,664.3718397148612,0.08333333333333333,12,50.19013806266014,24.14990320004631,18.07222219796313,1.2551327652265425e-11,4.55637596333126e-6,9.720973912885607e-5,Linear,Single predictor,Low
M68,All temp + all temp interactions (linear),652.0338670786728,703.817937570419,-305.0169335393364,21,664.5203535651592,0.21875,4.571428571428571,39.50733784026488,24.29841705034437,38.99918385092178,2.6207781597761763e-9,4.2302903760254514e-6,2.77637287821795e-9,Linear,Complex,Moderate
M58,Additive: temp_min + wind_max_gust (linear),662.884055489852,687.9926505550205,-321.442027744926,10,665.4722907839697,0.10416666666666667,9.6,50.35752625144414,25.250354269154855,23.17389683552335,1.154361366508013e-11,2.6282074296269935e-6,7.5839455433830775e-6,Linear,Additive,Low
M38,Additive + Interaction: temp_min + wind_max_gust + temp_min×wind_max_gust (linear),661.5847594891213,694.0822852034148,-317.79237974456066,13,666.0237838793653,0.13541666666666666,7.384615384615385,49.05823025071345,25.80184736455044,29.26353148391763,2.210448115095971e-11,1.9948233108179653e-6,3.6103378429214316e-7,Linear,Main + Interaction,Low
M36,Additive + Interaction: temp_min + temp_at_max_count_t_1 + temp_min×temp_at_max_count_t_1 (linear),662.1880888753437,694.6856145896372,-318.09404443767187,13,666.6271132655877,0.13541666666666666,7.384615384615385,49.66155963693586,26.405176750772853,29.866860870140044,1.6348165052983895e-11,1.4753434162998205e-6,2.670155365784319e-7,Linear,Main + Interaction,Low
M62,Additive: temp_at_max_count_t_1 + wind_max_gust (linear),664.0958866464424,689.2044817116109,-322.0479433232212,10,666.6841219405601,0.10416666666666667,9.6,51.569357408034534,26.462185425745247,24.385727992113743,6.297903349376616e-12,1.4338834314921135e-6,4.1376086747988545e-6,Linear,Additive,Low
M64,Additive: All temp + wind (linear),661.6443578397423,696.4852670159922,-316.82217891987113,14,666.8295430249275,0.14583333333333334,6.857142857142857,49.117828601334395,26.607606510112646,31.666513296495054,2.145550336653105e-11,1.3333251135996167e-6,1.0857928386132442e-7,Linear,Additive,Low
M48,Additive + Interaction: temp_at_max_count_t_1 + wind_max_gust + temp_at_max_count_t_1×wind_max_gust (linear),662.5164103853924,695.0139360996859,-318.2582051926962,13,666.9554347756364,0.13541666666666666,7.384615384615385,49.989881146984544,26.733498260821534,30.195182380188726,1.3873144304184851e-11,1.251984675113167e-6,2.265908778389664e-7,Linear,Main + Interaction,Low
M66,Additive: All predictors (additive) (linear),661.1186962145329,700.7560852461842,-314.55934810726643,16,668.0047721638999,0.16666666666666666,6,48.592166976124986,27.782835649085087,35.93733152668699,2.7905170445232802e-11,7.40863662491742e-7,1.2833661424780753e-8,Linear,Additive,Low
M70,All additive + all temp×wind interactions (linear),652.32561398353,713.391895395788,-301.162806991765,25,670.8970425549586,0.2604166666666667,3.84,39.79908474512217,30.67510604014376,48.57314167629079,2.2650522538345343e-9,1.7445754581761102e-7,2.314830875783338e-11,Linear,Complex,Moderate
M77,Linear interaction: wind_max_gust × sum_butterflies_direct_sun (with baseline + lag duration),675.6774740224471,703.17538039608,-326.83873701122354,11,678.8203311653042,0.11458333333333333,8.727272727272727,63.15094478403921,38.598394650489354,38.35662667658278,1.9243596716628773e-14,3.3202401558985047e-9,3.828311877289962e-9,Linear,Complex,Low
M78,Linear interaction + temp_min + temp_max (with baseline + lag duration),676.6447343059674,708.8501128941841,-325.3223671529837,13,681.0837586962114,0.13541666666666666,7.384615384615385,64.11820506755953,40.86182218139652,44.03135917468694,1.1864470069350047e-14,1.070711468104916e-9,2.2426154287275235e-10,Linear,Complex,Low
M72,FULL MODEL: All terms + all interactions (linear),622.7140126687948,731.122618696516,-265.3570063343974,46,710.9589106279784,0.4791666666666667,2.0869565217391304,10.18748343038692,70.73697411316357,66.30386497701886,0.006097555347807001,3.4863070916039944e-16,3.2684483142906886e-15,Linear,Full model,High
M71,FULL MODEL: All terms + all interactions (smooth),612.5265292384079,725.6485529195083,-258.26326461920394,48,712.6116356213865,0.5,2,0,72.3896991065717,60.829799200011166,0.9938930878643503,1.5257415273826565e-16,5.0468442460086565e-14,Smooth,Full model,High
