Model,Base_Model,Correlation,Formula,AIC,LogLik,df,Delta_AIC,AIC_weight
B32_AR1,B32,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + s(sum_butterflies_direct_sun_t_1),671.2220282254648,-326.6110141127324,9,2.820950715904928,0.03605297852511604
B29b_AR1,B29b,AR1,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + temp_at_max_count_t_1,671.7665912505946,-328.8832956252973,7,3.3655137410347606,0.027459384064530114
B29c_no_corr,B29c_no,corr,Unknown formula,671.868516812085,-328.9342584060425,7,3.467439302525122,0.026095038202283205
B40_AR1,B40,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + wind_max_gust_t_1 + s(sum_butterflies_direct_sun_t_1),672.5513101295006,-326.2756550647503,10,4.150232619940766,0.018547750787532496
B37_no_corr,B37_no,corr,Unknown formula,673.539070903152,-322.769535451576,14,5.137993393592183,0.011318834900911316
B31_AR1,B31,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + s(wind_max_gust_t_1),675.4666134175311,-328.73330670876555,9,7.0655359079712525,0.004317587884910881
B25_AR1,B25,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_max_t_1),675.6309980987074,-330.8154990493537,7,7.229920589147582,0.0039769076532509984
B29a_no_corr,B29a_no,corr,Unknown formula,676.1168510316913,-332.05842551584567,6,7.715773522131485,0.0031192047429790828
B24_AR1,B24,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(wind_max_gust_t_1),676.2164731986725,-331.10823659933624,7,7.81539568911262,0.0029676399157846536
B3_AR1,B3,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1,676.46265721335806,-332.23132860667903,6,8.061579703798202,0.0026239347087266113
B29_no_corr,B29_no,corr,Unknown formula,676.5205669013089,-333.26028345065447,5,8.119489391749084,0.002549048480039381
B33_no_corr,B33_no,corr,Unknown formula,676.6741704160369,-330.33708520801844,8,8.273092906477018,0.0023606060504025774
B29d_no_corr,B29d_no,corr,Unknown formula,677.0728011723432,-331.5364005861716,7,8.671723662783393,0.001934024391575244
B1_AR1,B1,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1,677.2261624326123,-333.61308121630617,5,8.825084923052486,0.0017912655456810778
B9_AR1,B9,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_at_max_count_t_1,677.4716418749962,-331.7358209374981,7,9.070564365436326,0.0015843633545867175
B30_AR1,B30,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_max_t_1) + s(temp_min_t_1),677.5911563622459,-329.79557818112295,9,9.190078852686042,0.0014924594757404614
B35_no_corr,B35_no,corr,Unknown formula,677.5943091585133,-326.79715457925664,12,9.193231648953429,0.0014901086188383373
B34_no_corr,B34_no,corr,Unknown formula,677.6325689110789,-328.81628445553946,10,9.231491401519065,0.0014618739492199666
B12_AR1,B12,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 + temp_max_t_1,677.7209086810011,-331.86045434050055,7,9.319831171441251,0.0013987084213219268
B2_AR1,B2,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1,678.0449579790653,-333.02247898953266,6,9.643880469505461,0.0011894899544921552
B50_AR1,B50,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(I(temp_max_t_1 - temp_min_t_1)) + s(wind_max_gust_t_1),678.1329238819142,-330.0664619409571,9,9.731846372354312,0.0011383065256651064
B38_no_corr,B38_no,corr,Unknown formula,678.3068278125447,-330.15341390627236,9,9.90575030298487,0.0010435096433398332
B26_AR1,B26,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_min_t_1),678.459073420449,-332.2295367102245,7,10.05799591088919,9.67022887623886e-4
B27_AR1,B27,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1),678.5050185023146,-332.2525092511573,7,10.103940992754701,9.450611391660108e-4
B4_AR1,B4,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_min_t_1,678.597962389663,-333.2989811948315,6,10.196884880103198,9.021471815998989e-4
B8_AR1,B8,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1,678.598255221517,-332.2991276107585,7,10.197177711957124,9.020151025535218e-4
B49_AR1,B49,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(I(temp_max_t_1 - temp_min_t_1)),678.6123963164623,-332.30619815823115,7,10.211318806902455,8.956598559624924e-4
B29b_no_corr,B29b_no,corr,Unknown formula,678.6470910558884,-333.3235455279442,6,10.246013546328527,8.802565034070093e-4
B31_no_corr,B31_no,corr,Unknown formula,678.6791381933174,-331.3395690966587,8,10.27806068375753,8.662640566883407e-4
B11_AR1,B11,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1,678.8058808761833,-331.40294043809166,8,10.404803366623469,8.130709995029971e-4
B13_AR1,B13,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 + temp_min_t_1,678.9026061062685,-332.45130305313427,7,10.501528596708681,7.746844777366232e-4
B5_AR1,B5,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1,679.3050748878841,-333.65253744394204,6,10.90399737832422,6.334755666201979e-4
B24_no_corr,B24_no,corr,Unknown formula,679.4093570497881,-333.70467852489406,6,11.008279540228273,6.012918050276232e-4
B47_AR1,B47,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + I(temp_max_t_1 - temp_min_t_1),679.6712661814324,-333.8356330907162,6,11.270188671872575,5.274878243971028e-4
B10_AR1,B10,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_min_t_1 + temp_at_max_count_t_1,679.6846470547007,-332.84232352735035,7,11.283569545140836,5.239704799380649e-4
B14_AR1,B14,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 + temp_at_max_count_t_1,679.7467293617308,-332.8733646808654,7,11.345651852170931,5.079556767211444e-4
B48_AR1,B48,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + I(temp_max_t_1 - temp_min_t_1) + wind_max_gust_t_1,680.778705654656,-333.389352827328,7,12.377628145096196,3.0320406078241405e-4
B28_no_corr,B28_no,corr,Unknown formula,680.8568114476187,-334.42840572380936,6,12.45573393805887,2.915912959120536e-4
B50_no_corr,B50_no,corr,Unknown formula,681.8383405622101,-332.91917028110504,8,13.437263052650223,1.7849999852981386e-4
B32_no_corr,B32_no,corr,Unknown formula,682.0455524439674,-333.0227762219837,8,13.644474934407526,1.609321185406079e-4
B41_AR1,B41,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * wind_max_gust_t_1,682.131258141294,-333.065629070647,8,13.730180631734129,1.5418139570693546e-4
B25_no_corr,B25_no,corr,Unknown formula,682.2741632605147,-335.13708163025734,6,13.873085750954829,1.435491153419705e-4
M34_AR1,M34,AR1,butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1) + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1),682.4680192834936,-331.2340096417468,10,14.066941773933763,1.3028824072252153e-4
M33_AR1,M33,AR1,butterfly_diff_95th_sqrt ~ s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1),682.5238089226078,-333.2619044613039,8,14.122731413047973,1.2670409570164854e-4
B13_no_corr,B13_no,corr,Unknown formula,682.823513474187,-335.4117567370935,6,14.422435964627198,1.0907133710323937e-4
B40_no_corr,B40_no,corr,Unknown formula,683.0345029554286,-332.5172514777143,9,14.633425445868738,9.81510281905929e-5
B3_no_corr,B3_no,corr,Unknown formula,683.1058223416157,-336.5529111708079,5,14.704744832055894,9.471266252897066e-5
M38_AR1,M38,AR1,butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1),683.1422782632642,-332.5711391316321,9,14.741200753704334,9.300188320424998e-5
B30_no_corr,B30_no,corr,Unknown formula,683.1744411979669,-333.58722059898344,8,14.773363688407017,9.15182380257335e-5
B26_no_corr,B26_no,corr,Unknown formula,683.4263633994061,-335.71318169970306,6,15.02528588984626,8.068697599920242e-5
M28_AR1,M28,AR1,butterfly_diff_95th_sqrt ~ s(sum_butterflies_direct_sun_t_1),683.5010283025422,-335.7505141512711,6,15.099950792982327,7.773026735863831e-5
B2_no_corr,B2_no,corr,Unknown formula,683.657691340092,-336.828845670046,5,15.25661383053216,7.187390067488248e-5
B4_no_corr,B4_no,corr,Unknown formula,683.7816072742135,-336.8908036371067,5,15.380529764653602,6.755588876413795e-5
B11_no_corr,B11_no,corr,Unknown formula,683.8241279044495,-334.91206395222474,7,15.423050394889628,6.613478931973012e-5
B1_no_corr,B1_no,corr,Unknown formula,683.8503053952187,-337.92515269760935,4,15.449227885658843,6.527480821540312e-5
M37_AR1,M37,AR1,butterfly_diff_95th_sqrt ~ s(temp_max_t_1) + s(temp_min_t_1) + s(temp_at_max_count_t_1) + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1),683.9086249665021,-327.95431248325104,14,15.507547456942234,6.339889237326594e-5
B12_no_corr,B12_no,corr,Unknown formula,683.9444813345341,-335.97224066726704,6,15.543403824974234,6.227239357633819e-5
B9_no_corr,B9_no,corr,Unknown formula,684.09363756859,-336.046818784295,6,15.692560059030143,5.779718602435178e-5
B10_no_corr,B10_no,corr,Unknown formula,684.2687814654023,-336.13439073270115,6,15.867703955842444,5.295106268220769e-5
B8_no_corr,B8_no,corr,Unknown formula,684.5812646532985,-336.29063232664924,6,16.180187143738635,4.5291824765018404e-5
B27_no_corr,B27_no,corr,Unknown formula,684.6136414484002,-336.3068207242001,6,16.21256393884039,4.456452548802499e-5
M40_AR1,M40,AR1,butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1) + wind_max_gust_t_1 + s(sum_butterflies_direct_sun_t_1),684.6388009313304,-333.3194004656652,9,16.23772342177051,4.400742670491948e-5
M34_no_corr,M34_no,corr,Unknown formula,684.9337770869662,-333.4668885434831,9,16.532699577406333,3.797280822689145e-5
M32_AR1,M32,AR1,butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1) + s(sum_butterflies_direct_sun_t_1),685.1640658252363,-334.58203291261816,8,16.762988315676466,3.384278943557854e-5
B17_AR1,B17,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,685.2838428558197,-334.64192142790984,8,16.882765346259816,3.18754922398623e-5
B52_AR1,B52,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * temp_at_max_count_t_1,685.3408901755529,-335.67044508777644,7,16.93981266599303,3.0979131064179986e-5
M31_no_corr,M31_no,corr,Unknown formula,685.5135580519881,-335.75677902599404,7,17.112480542428216,2.8416780918913506e-5
M37_no_corr,M37_no,corr,Unknown formula,685.5138847902965,-329.75694239514826,13,17.11280728073666,2.8412138872642967e-5
B14_no_corr,B14_no,corr,Unknown formula,685.5214118087529,-336.76070590437644,6,17.12033429919302,2.830541048840802e-5
M38_no_corr,M38_no,corr,Unknown formula,685.6080359816215,-334.80401799081073,8,17.206958472061615,2.7105614492639494e-5
M33_no_corr,M33_no,corr,Unknown formula,685.7440593738162,-335.8720296869081,7,17.34298186425633,2.5323408045716713e-5
B6_AR1,B6,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + sum_butterflies_direct_sun_t_1,685.9307174577979,-336.96535872889893,6,17.529639948238014,2.3066933578007302e-5
B49_no_corr,B49_no,corr,Unknown formula,686.028795819275,-337.0143979096375,6,17.627718309715192,2.196303832806573e-5
M35_AR1,M35,AR1,butterfly_diff_95th_sqrt ~ s(temp_max_t_1) + s(temp_min_t_1) + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1),686.1624217105154,-331.0812108552577,12,17.76134420095559,2.0543570456632835e-5
M31_AR1,M31,AR1,butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1) + s(wind_max_gust_t_1),686.1694180797194,-335.0847090398597,8,17.76834057015958,2.047183080721818e-5
B5_no_corr,B5_no,corr,Unknown formula,686.1879271015462,-338.0939635507731,5,17.78684959198631,2.0283247992399737e-5
B55_AR1,B55,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * temp_at_max_count_t_1 + wind_max_gust_t_1,686.2915146153349,-335.14575730766745,8,17.89043710577505,1.9259444550591176e-5
B15_AR1,B15,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,686.6429556738077,-336.32147783690385,7,18.24187816424785,1.6155831000777346e-5
M24_no_corr,M24_no,corr,Unknown formula,686.8964004647457,-338.44820023237287,5,18.495322955185884,1.4232934950030289e-5
B47_no_corr,B47_no,corr,Unknown formula,687.0876718073384,-338.5438359036692,5,18.686594297778583,1.293482091333437e-5
B48_no_corr,B48_no,corr,Unknown formula,687.19745185437,-337.598725927185,6,18.796374344810147,1.2243962359800742e-5
M2_no_corr,M2_no,corr,Unknown formula,687.4690735465048,-339.7345367732524,4,19.06799603694492,1.0689074027398298e-5
M24_AR1,M24,AR1,butterfly_diff_95th_sqrt ~ s(wind_max_gust_t_1),687.5588825694155,-337.77944128470773,6,19.157805059855605,1.0219703671360308e-5
M40_no_corr,M40_no,corr,Unknown formula,687.6610555844749,-335.83052779223743,8,19.25997807491501,9.71072633077272e-6
M2_AR1,M2,AR1,butterfly_diff_95th_sqrt ~ wind_max_gust_t_1,687.6692431943123,-338.8346215971562,5,19.26816568475249,9.671053772818529e-6
B20_AR1,B20,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,687.8658438408967,-334.93292192044834,9,19.46476633133682,8.76561738685669e-6
B51_AR1,B51,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * wind_max_gust_t_1,687.9280490157021,-336.96402450785104,7,19.526971506142218,8.497180191127554e-6
M14_no_corr,M14_no,corr,Unknown formula,687.9984885946973,-338.99924429734864,5,19.597411085137423,8.203120057682702e-6
M14_AR1,M14,AR1,butterfly_diff_95th_sqrt ~ wind_max_gust_t_1 + temp_at_max_count_t_1,688.1323775723913,-338.06618878619565,6,19.73130006283145,7.671944380592253e-6
B39_AR1,B39,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,688.2543899392786,-335.1271949696393,9,19.8533124297187,7.2178989359210145e-6
B18_AR1,B18,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_min_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,688.4113782643243,-336.20568913216215,8,20.010300754764444,6.673001388016023e-6
M28_no_corr,M28_no,corr,Unknown formula,688.5203394315283,-339.26016971576416,5,20.119261921968473,6.31917813848838e-6
B16_AR1,B16,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 + sum_butterflies_direct_sun_t_1,688.5429992197187,-337.27149960985935,7,20.14192171015884,6.247986577383933e-6
B19_AR1,B19,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,688.9286488600987,-336.4643244300494,8,20.527571350538892,5.152254799681407e-6
B21_AR1,B21,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,689.032944438472,-334.516472219236,10,20.63186692891213,4.890461399944407e-6
M1_AR1,M1,AR1,butterfly_diff_95th_sqrt ~ 1,689.2348386470596,-340.6174193235298,4,20.833761137499778,4.4208834450301386e-6
M32_no_corr,M32_no,corr,Unknown formula,689.4455785853522,-337.7227892926761,7,21.04450107579237,3.9787574872113106e-06
M50_no_corr,M50_no,corr,Unknown formula,689.4630285852732,-337.7315142926366,7,21.061951075713296,3.944193831504745e-6
M13_no_corr,M13_no,corr,Unknown formula,689.6051317576827,-339.80256587884134,5,21.204054248122816,3.6736767332830393e-6
B41_no_corr,B41_no,corr,Unknown formula,689.6467225536095,-337.82336127680475,7,21.24564504404964,3.598070024076992e-6
B54_AR1,B54,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * wind_max_gust_t_1 + temp_at_max_count_t_1,689.655555669573,-336.8277778347865,8,21.25447816001315,3.5822139795372457e-6
M35_no_corr,M35_no,corr,Unknown formula,689.68533902225,-333.842669511125,11,21.284261512690136,3.5292640435532916e-6
M27_AR1,M27,AR1,butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1),689.8286019906352,-338.9143009953176,6,21.427524481075352,3.28529969382026e-6
M1_no_corr,M1_no,corr,Unknown formula,689.8900012573456,-341.9450006286728,3,21.488923747785748,3.185974620194862e-6
M13_AR1,M13,AR1,butterfly_diff_95th_sqrt ~ wind_max_gust_t_1 + temp_min_t_1,689.9354245900852,-338.9677122950426,6,21.534347080525322,3.1144313364148517e-6
M50_AR1,M50,AR1,butterfly_diff_95th_sqrt ~ s(I(temp_max_t_1 - temp_min_t_1)) + s(wind_max_gust_t_1),690.0492860856865,-337.02464304284325,8,21.64820857612665,2.9420771080823343e-6
M27_no_corr,M27_no,corr,Unknown formula,690.4779197465837,-340.23895987329183,5,22.07684223702381,2.3745287596183884e-6
M25_AR1,M25,AR1,butterfly_diff_95th_sqrt ~ s(temp_max_t_1),690.4917657352556,-339.2458828676278,6,22.09068822569577,2.3581466824085562e-6
M5_AR1,M5,AR1,butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1,690.5028609443077,-340.25143047215386,5,22.10178343474786,2.345100837253103e-6
M12_AR1,M12,AR1,butterfly_diff_95th_sqrt ~ wind_max_gust_t_1 + temp_max_t_1,690.6030279765309,-339.30151398826547,6,22.201950466971084,2.230542625790351e-6
M12_no_corr,M12_no,corr,Unknown formula,690.6886992382686,-340.3443496191343,5,22.2876217287087,2.137013417446881e-6
B51_no_corr,B51_no,corr,Unknown formula,690.9722786240476,-339.4861393120238,6,22.571201114487735,1.8545082416334616e-6
M26_no_corr,M26_no,corr,Unknown formula,691.073397242257,-340.5366986211285,5,22.672319732697133,1.7630764269028936e-6
M48_no_corr,M48_no,corr,Unknown formula,691.0779820744441,-340.53899103722205,5,22.67690456488424,1.7590393512242856e-6
M49_AR1,M49,AR1,butterfly_diff_95th_sqrt ~ s(I(temp_max_t_1 - temp_min_t_1)),691.1259618034928,-339.5629809017464,6,22.724884293932973,1.717342387495807e-6
M48_AR1,M48,AR1,butterfly_diff_95th_sqrt ~ I(temp_max_t_1 - temp_min_t_1) + wind_max_gust_t_1,691.1573292101782,-339.5786646050891,6,22.75625170061835,1.6906182137545645e-6
M5_no_corr,M5_no,corr,Unknown formula,691.2238624106927,-341.61193120534637,4,22.822784901132877,1.6353022812219063e-6
M26_AR1,M26,AR1,butterfly_diff_95th_sqrt ~ s(temp_min_t_1),691.2338540507714,-339.6169270253857,6,22.8327765412115,1.6271529784893262e-6
M3_AR1,M3,AR1,butterfly_diff_95th_sqrt ~ temp_max_t_1,691.3234248971295,-340.66171244856474,5,22.92234738756963,1.5558879716712394e-6
M25_no_corr,M25_no,corr,Unknown formula,691.3847712705948,-340.6923856352974,5,22.983693761034942,1.50888842716393e-6
B44_AR1,B44,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,691.4896611684121,-336.74483058420606,9,23.088583658852258,1.4317941237651032e-6
M9_AR1,M9,AR1,butterfly_diff_95th_sqrt ~ temp_max_t_1 + temp_at_max_count_t_1,691.7294705087205,-339.86473525436026,6,23.328392999160656,1.2700085334858734e-6
M4_AR1,M4,AR1,butterfly_diff_95th_sqrt ~ temp_min_t_1,691.8740528856787,-340.93702644283934,5,23.472975376118825,1.181438107094586e-6
M41_AR1,M41,AR1,butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 * wind_max_gust_t_1,691.9810032531323,-338.99050162656613,7,23.579925743572403,1.1199199925389075e-6
M49_no_corr,M49_no,corr,Unknown formula,692.0971981227867,-341.04859906139336,5,23.696120613226867,1.0567094767713334e-6
M41_no_corr,M41_no,corr,Unknown formula,692.1592511922187,-340.07962559610934,6,23.75817368265882,1.0244268423318074e-6
M47_AR1,M47,AR1,butterfly_diff_95th_sqrt ~ I(temp_max_t_1 - temp_min_t_1),692.1848378428908,-341.0924189214454,5,23.783760333330974,1.0114044936391817e-6
M3_no_corr,M3_no,corr,Unknown formula,692.2164304906446,-342.1082152453223,4,23.815352981084743,9.955535436547749e-7
B54_no_corr,B54_no,corr,Unknown formula,692.448124408459,-339.2240622042295,7,24.04704689889911,8.866514478142384e-7
M10_AR1,M10,AR1,butterfly_diff_95th_sqrt ~ temp_min_t_1 + temp_at_max_count_t_1,692.5183711409555,-340.25918557047777,6,24.117293631395682,8.560498261721633e-7
M30_AR1,M30,AR1,butterfly_diff_95th_sqrt ~ s(temp_max_t_1) + s(temp_min_t_1),692.537665552825,-338.2688327764125,8,24.136588043265192,8.478310450879221e-7
M4_no_corr,M4_no,corr,Unknown formula,692.5920227057619,-342.29601135288095,4,24.19094519620205,8.250985223126392e-7
M9_no_corr,M9_no,corr,Unknown formula,692.5981914645496,-341.2990957322748,5,24.19711395498973,8.22557526145098e-7
M30_no_corr,M30_no,corr,Unknown formula,692.7628879002652,-339.3814439501326,7,24.361810390705386,7.575353499822559e-7
B17_no_corr,B17_no,corr,Unknown formula,692.892993651891,-339.4464968259455,7,24.491916142331092,7.098241953029777e-7
B42_AR1,B42,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * sum_butterflies_direct_sun_t_1,692.9049867158642,-338.4524933579321,8,24.503909206304343,7.055804484094779e-7
M10_no_corr,M10_no,corr,Unknown formula,692.9973006476463,-341.49865032382314,5,24.59622313808643,6.737531713650079e-7
B15_no_corr,B15_no,corr,Unknown formula,692.9985000650432,-340.4992500325216,6,24.597422555483377,6.733492368611401e-7
B18_no_corr,B18_no,corr,Unknown formula,693.1020882284324,-339.5510441142162,7,24.701010718872567,6.393615107034514e-7
M47_no_corr,M47_no,corr,Unknown formula,693.1560741737015,-342.57803708685077,4,24.754996664141686,6.223340871948772e-7
B6_no_corr,B6_no,corr,Unknown formula,693.2313695820606,-341.6156847910303,5,24.830292072500697,5.993401871548186e-7
B21_no_corr,B21_no,corr,Unknown formula,693.9794912752227,-337.98974563761135,9,25.578413765662845,4.1230712285173764e-7
M11_AR1,M11,AR1,butterfly_diff_95th_sqrt ~ temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1,693.9821000881677,-339.99105004408386,7,25.58102257860787,4.117696573849502e-7
M8_AR1,M8,AR1,butterfly_diff_95th_sqrt ~ temp_max_t_1 + temp_min_t_1,694.0074833935678,-341.0037416967839,6,25.606405884007927,4.0657664357142857e-7
B39_no_corr,B39_no,corr,Unknown formula,694.5030598795967,-339.25152993979833,8,26.101982370036808,3.1734331906570935e-7
M11_no_corr,M11_no,corr,Unknown formula,694.6432990697566,-341.3216495348783,6,26.242221560196754,2.9585356473869505e-7
B20_no_corr,B20_no,corr,Unknown formula,694.6970945048872,-339.3485472524436,8,26.296016995327363,2.8800184910733773e-7
M8_no_corr,M8_no,corr,Unknown formula,695.0131120742648,-342.5065560371324,5,26.612034564704913,2.459081558307152e-7
B19_no_corr,B19_no,corr,Unknown formula,695.2630703316767,-340.63153516583833,7,26.861992822116804,2.1701771523417863e-7
B16_no_corr,B16_no,corr,Unknown formula,695.8866338597077,-341.94331692985384,6,27.485556350147817,1.5888763006471082e-7
B43_AR1,B43,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1,696.4051216268796,-340.2025608134398,8,28.004044117319722,1.2260322639982346e-7
B55_no_corr,B55_no,corr,Unknown formula,696.7666679763001,-341.38333398815007,7,28.365590466740287,1.0232767507057614e-7
B52_no_corr,B52_no,corr,Unknown formula,697.18728648873,-342.593643244365,6,28.78620897917017,8.29195539859577e-8
M39_no_corr,M39_no,corr,Unknown formula,697.9510755372739,-341.97553776863697,7,29.549998027714082,5.6598154826179795e-8
