deployment_id,image_filename,total_butterflies,butterflies_direct_sun,timestamp,date,day_id,complete_day,AR_start
SC1,SC1_20231120170001.JPG,0,0,2023-11-20T17:00:01Z,2023-11-20,SC1-20231120,TRUE,FALSE
SC10,SC10_20240106070604.JPG,0,0,2024-01-06T07:06:04Z,2024-01-06,SC10-20240106,TRUE,TRUE
SC10,SC10_20240106073604.JPG,0,0,2024-01-06T07:36:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106080604.JPG,0,0,2024-01-06T08:06:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106083604.JPG,0,0,2024-01-06T08:36:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106090604.JPG,0,0,2024-01-06T09:06:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106093604.JPG,0,0,2024-01-06T09:36:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106100604.JPG,0,0,2024-01-06T10:06:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106103604.JPG,0,0,2024-01-06T10:36:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106110604.JPG,0,0,2024-01-06T11:06:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106113604.JPG,0,0,2024-01-06T11:36:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106120604.JPG,1,1,2024-01-06T12:06:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106123604.JPG,4,4,2024-01-06T12:36:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106130604.JPG,3,3,2024-01-06T13:06:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106133604.JPG,25,0,2024-01-06T13:36:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106140604.JPG,19,0,2024-01-06T14:06:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106143604.JPG,30,0,2024-01-06T14:36:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106150604.JPG,20,0,2024-01-06T15:06:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106153604.JPG,19,0,2024-01-06T15:36:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106160604.JPG,39,0,2024-01-06T16:06:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106163604.JPG,28,0,2024-01-06T16:36:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106170604.JPG,15,0,2024-01-06T17:06:04Z,2024-01-06,SC10-20240106,TRUE,FALSE
SC10,SC10_20240106173605.JPG,0,0,2024-01-06T17:36:05Z,2024-01-06,SC10-20240106,TRUE,FALSE
